,UserId,Preferred_Category_Veg_Non_Veg,Lunch
0,0,Non-Vegeterian,"Paneer Amritsari Tikka, Butter Garlic Prawns, Chilli Panner, Apollo Fish, Veg Tempura, Fish Tacos, Tomato and Basil Bruschetta, Tuscan Lamb Shanks, Lettuce Wraps, Thai Fried Calamari With Sweet Chili"
1,1,Non-Vegeterian,"Hara Bara Kabab, Chicken Roast, Veg Manchurian, Chicken 65, Tacos, Mushroom Balls, Kadaai Paneer, Nihari Gosht, Chicken Fried Rice, Lacha Paratha, Ice-cream"
2,2,Non-Vegeterian,"Veg Cutlet, Veg Pakora, Veg lollipop, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Haryali Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, soyabin Chap, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chicken RR, Murgh Tangdi Kabab, Murgh Lasooni Kabab, Mutton Fry, Mutton RR, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Cutlet, Mutton Pepper Fry, Fish tikka, Fish Fry, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Chilli Potatoes, Chinese Bhel, Vegetable Gold Coins, Veg Spring Rolls, Veg Manchurian, Veg Dumplings, Finger Chips, Corn Fry, Crispy Corn, Gobi 65, Aloo 65, Shanghai Roll, Gobi Manchurian, Schezwan Gobi, Chilli Mushroom, Mushroom Manchurian, Schezwan Mushroom, Mushroom 65, Chilli Panner, Paneer 65, Paneer Tikka, Paneer Majestic, Paneer Pakoda, Schezwan Paneer, Apollo Fish, Finger Fish, Chilli Fish, Fish Manchurian, Ginger Fish, Loose Prawns, Prawns Manchurian, Chilli Prawns, Schezwan Prawns, Mutton Spring Roll, Mutton 65, Pepper Mutton, Chilly Mutton, Schezwan Mutton, Ginger Mutton Dry, Chicken Spring Roll, Chicken Manchurian, Chicken 65, Chilli Chicken, Chicken Drum Sticks, Schezwan Chicken, Chicken Majestic, Pepper Chicken, Corn Cheese Ball, Funghi Ala Trapanese, Spinach Dip, Tacos, French Fries, Beetroot and Cheese Croquettes, Bruschetta, Herb Grilled Chicken, Chicken Goujons, Butterfly Prawns, Fish N Chips, Fish Tacos, Fried Chicken Tacos, Mutton balls with BBQ sauce, Chicken Nuggets, Prawn Tempura, Butter Fried Garlic Prawns, Patra Fish, Fish Finger Tartar Sauce, French Bread, Italian Open Toast Sandwich, Chicken Sorrento, Scallops with Creamy Pesto, Canederli, Grilled Chicken Risotto, Chicken Milanese, Tuscan Lamb Shanks, Open-face Sausage Pepper Sandwiches, Grilled Cod with Caponata, Veal Stew, Sweet Corn Cutlets, Mushroom Balls, Paneer, Mushroom and Capsicum Satay, Yellow Moong Toast, Peanut Sesame Vegetables, Lettuce Wraps, Smoked Cottage Cheese Patties with Curry Sauce, Thai Corn Fritters, Crispy Thai Fried Ribs, Veg Kofta, Butter Chicken, Veg Lasagna, Chicken Lasagna, Farm Fresh Pizza, Alfredo Cheese Pizza, Veg biryani, Garlic Naan, Kesariya Kheer, Lassi"
3,3,Non-Vegeterian,"Paneer Tikka, Chicken Tandoori, Matar Pulao"
4,4,Non-Vegeterian,"Veg lollipop, Paneer Tikka, Haryali Paneer Tikka, Mushroom Tikka, Mushroom Malai Tikka, Chicken Tandoori, Pepper Garlic Chicken, Cashew Chicken, Chicken Fry, Murgh Tangdi Kabab, Mutton Cutlet, Mutton Pepper Fry, Fish tikka, Fish Fry, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Finger Chips, Corn Fry, Crispy Corn, Gobi 65, Aloo 65, Gobi Manchurian, Chilli Mushroom, Mushroom Manchurian, Mushroom 65, Chilli Panner, Paneer 65, Paneer Tikka, Paneer Majestic, Paneer Pakoda, Apollo Fish, Chilli Fish, Fish Manchurian, Ginger Fish, Loose Prawns, Prawns Manchurian, Chilli Prawns, Mutton Spring Roll, Mutton 65, Pepper Mutton, Chilly Mutton, Chicken Spring Roll, Chicken Manchurian, Chicken 65, Chilli Chicken, Chicken Drum Sticks, Chicken Majestic, Pepper Chicken, Tacos, French Fries, Corn Cakes Tomato Salsa, Herb Grilled Chicken, Butterfly Prawns, Fish N Chips, Fish Tacos, Fried Chicken Tacos, Chicken Nuggets, Prawn Tempura, Butter Fried Garlic Prawns, Fish Finger Tartar Sauce, Tomato and Basil Bruschetta, French Bread, Chopped Italian Salad, Potato Focaccia Rolls, Grilled Chicken Risotto, Grilled Cod with Caponata, Mushroom Masala, South Indian Chicken masala, Veg Lasagna, Chicken Madagascar, Penne Pasta (White Sauce/Red Tomato Sauce/Pesto Sauce), Mix Grilled Pizza ( Chicken Sausage, Salami. Grilled Chicken), Veg biryani, Butter Naan, Kesariya Kheer, Chocolate Milkshake"
5,5,Non-Vegeterian,"Mushroom Tikka, Lemon Chicken, Chicken Fry, Mutton RR, Crispy Corn, Ginger Mutton Dry, French Fries, Chicken Goujons, Chopped Italian Salad, Veal Stew, Mango Kuzhambu, Chicken Chettinad, Hash Brown Potatoes, Chicken Madagascar, Farm Fresh Pizza, Chicken Parmesan, Veg biryani, Butter Naan, Malai Kulfi, Chocolate Milkshake"
6,6,Non-Vegeterian,"Paneer Tikka, Veg Platter, Veg Spring Rolls, Crispy Corn, Paneer 65, Corn Cheese Ball, Spinach Dip, Italian Style Baby Potatoes, Chopped Italian Salad, Kadaai Paneer, Avial with Kerala Red Rice, Tomato Basil Risotto Rice, Farm Fresh Pizza, Margarita Pizza, Veg Dum Biryani, Lemon Rice, Butter Naan, Kesariya Kheer, Fruit cream, Fresh Lime Soda, Lassi"
7,7,Non-Vegeterian,"Paneer Tikka, Mushroom Tikka, Chicken Fry, Prawns Fry, Finger Chips, Crispy Corn, Chilli Mushroom, Apollo Fish, Loose Prawns, Corn Cheese Ball, French Fries, Prawn Tempura, Butter Fried Garlic Prawns, Paneer Butter Masala, Dal Tadka, Mughlai Chicken Handi, Hyderabadi Keema, Margarita Pizza, Mix Grilled Pizza ( Chicken Sausage, Salami. Grilled Chicken), Plain Rice, Chicken Dum Biryani, Prawns Biryani, Plain Roti, Gulab Jamun, Ice-cream, Fresh Lime Soda, Lassi"
8,8,Non-Vegeterian,"Paneer Amritsari Tikka, Chicken Tikka Dry, Finger Chips, Chilli Chicken, Tacos, Kadaai Paneer, Butter Chicken, Farm Fresh Pizza, Lemon Rice, Butter Naan"
9,9,Non-Vegeterian,"Haryali Paneer Tikka, Kadaai Paneer, Dal Tadka, Veg biryani, Butter Naan, Kesariya Kheer"
